ID,Site_Number,Site_Location,Cluster_Name,Site_Acronym,Date,Month,Sample_Type,Tot_N,Diss_N,Tot_P,Diss_P,NO3_N,NH4_N,DON,Nutrient_comments
3881,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/16/2005,8,NA,NA,0.12,NA,NA,NA,NA,NA,NA
3882,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/16/2005,8,NA,NA,0.2,NA,NA,NA,NA,NA,NA
3883,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/16/2005,8,NA,NA,0.2,NA,NA,NA,NA,NA,NA
3884,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/16/2005,8,NA,NA,0.16,52.8,NA,NA,NA,NA,NA
3885,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3886,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3887,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3888,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3889,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3890,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3891,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3892,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3893,R3,Waddell Canal,cap,waddell canal,9/13/2005,9,NA,NA,0.14,33.8,NA,NA,NA,NA,NA
3894,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/13/2005,9,NA,NA,0.17,12.8,NA,NA,NA,NA,NA
3895,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/13/2005,9,NA,NA,0.11,NA,NA,NA,NA,NA,NA
3896,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/13/2005,9,NA,NA,0.14,9.8,NA,NA,NA,NA,NA
3897,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/13/2005,9,NA,NA,0.13,NA,NA,NA,NA,NA,NA
3898,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/13/2005,9,NA,NA,0.14,53.6,NA,NA,NA,NA,NA
3899,R19,Val Vista WTP treated water,srp,val vista-treated,9/13/2005,9,NA,NA,0.08,NA,NA,NA,NA,NA,NA
3900,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/13/2005,9,NA,NA,0.14,72,NA,NA,NA,NA,NA
3901,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/13/2005,9,NA,NA,0.13,69.7,NA,NA,NA,NA,NA
3902,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/13/2005,9,NA,NA,0.1,NA,NA,NA,NA,NA,NA
3903,R25,verde river at beeline highway,verde,verde @ beeline,9/13/2005,9,NA,NA,0.15,84.9,NA,NA,NA,NA,NA
3904,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/13/2005,9,NA,NA,0.18,36,NA,NA,NA,NA,NA
3905,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/13/2005,9,NA,NA,0.11,62.3,NA,NA,NA,NA,NA
3906,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/13/2005,9,NA,NA,0.12,67.9,NA,NA,NA,NA,NA
3907,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/13/2005,9,NA,NA,0.15,47.7,NA,NA,NA,NA,NA
3908,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/13/2005,9,NA,NA,0.12,NA,NA,NA,NA,NA,NA
3909,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/13/2005,9,NA,NA,0.16,87.3,NA,NA,NA,NA,NA
3910,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/13/2005,9,NA,NA,0.12,NA,NA,NA,NA,NA,NA
3911,Green In,Greenway WTP Inlet,srp,Green In,9/13/2005,9,NA,NA,0.28,63.5,NA,NA,NA,NA,NA
3912,Green Out,Greenway WTP Outlet,srp,Green Out,9/13/2005,9,NA,NA,0.17,NA,NA,NA,NA,NA,NA
3913,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/13/2005,9,NA,NA,0.14,40.7,NA,NA,NA,NA,NA
3914,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/13/2005,9,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3915,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/13/2005,9,NA,NA,0.07,13.6,NA,NA,NA,NA,NA
3916,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/13/2005,9,NA,NA,0.16,17.2,NA,NA,NA,NA,NA
3917,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/13/2005,9,NA,NA,0.11,10.7,NA,NA,NA,NA,NA
3918,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/13/2005,9,NA,NA,0.15,13.7,NA,NA,NA,NA,NA
3919,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/13/2005,9,NA,NA,0.16,7.2,NA,NA,NA,NA,NA
3920,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,9/13/2005,9,NA,NA,0.17,15.8,NA,NA,NA,NA,NA
3921,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/13/2005,9,NA,NA,0.17,34.6,NA,NA,NA,NA,NA
3922,R20,Verde River at Tangle,verde,verde abv horseshoe,9/13/2005,9,NA,NA,0.04,62.5,NA,NA,NA,NA,NA
3923,Havasu 1,Havasu lake Sample,NA,Havasu 1,9/13/2005,9,NA,NA,0.17,0,NA,NA,NA,NA,NA
3924,Havasu 2,Havasu lake Sample,NA,Havasu 2,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3925,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3926,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/13/2005,9,NA,NA,0.13,NA,NA,NA,NA,NA,NA
3927,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/13/2005,9,NA,NA,0.12,NA,NA,NA,NA,NA,NA
3928,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/13/2005,9,NA,NA,0.1,NA,NA,NA,NA,NA,NA
3929,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/13/2005,9,NA,NA,0.15,47.7,NA,NA,NA,NA,NA
3930,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3931,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3932,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3933,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3934,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3935,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3936,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3937,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,9/13/2005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
3938,R3,Waddell Canal,cap,waddell canal,10/18/2005,10,NA,NA,0.15,9.4,NA,NA,NA,NA,NA
3939,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/18/2005,10,NA,NA,0.16,21.5,NA,NA,NA,NA,NA
3940,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/18/2005,10,NA,NA,0.14,NA,NA,NA,NA,NA,NA
3941,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/18/2005,10,NA,NA,0.14,14.4,NA,NA,NA,NA,NA
3942,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/18/2005,10,NA,NA,0.13,NA,NA,NA,NA,NA,NA
3943,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/18/2005,10,NA,NA,0.13,53.9,NA,NA,NA,NA,NA
3944,R19,Val Vista WTP treated water,srp,val vista-treated,10/18/2005,10,NA,NA,0.1,NA,NA,NA,NA,NA,NA
3945,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/18/2005,10,NA,NA,0.12,42.1,NA,NA,NA,NA,NA
3946,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/18/2005,10,NA,NA,0.11,24.4,NA,NA,NA,NA,NA
3947,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/18/2005,10,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3948,R25,verde river at beeline highway,verde,verde @ beeline,10/18/2005,10,NA,NA,0.09,65.6,NA,NA,NA,NA,NA
3949,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/18/2005,10,NA,NA,0.14,33.8,NA,NA,NA,NA,NA
3950,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/18/2005,10,NA,NA,0.12,48.5,NA,NA,NA,NA,NA
3951,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/18/2005,10,NA,NA,0.13,41.7,NA,NA,NA,NA,NA
3952,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/18/2005,10,NA,NA,0.12,37.6,NA,NA,NA,NA,NA
3953,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/18/2005,10,NA,NA,0.07,NA,NA,NA,NA,NA,NA
3954,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/18/2005,10,NA,NA,0.12,33.2,NA,NA,NA,NA,NA
3955,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/18/2005,10,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3956,Green In,Greenway WTP Inlet,srp,Green In,10/18/2005,10,NA,NA,0.23,44,NA,NA,NA,NA,NA
3957,Green Out,Greenway WTP Outlet,srp,Green Out,10/18/2005,10,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3958,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/18/2005,10,NA,NA,0.17,30.3,NA,NA,NA,NA,NA
3959,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/18/2005,10,NA,NA,0.1,NA,NA,NA,NA,NA,NA
3960,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/18/2005,10,NA,NA,0.11,10,NA,NA,NA,NA,NA
3961,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/18/2005,10,NA,NA,0.08,11.2,NA,NA,NA,NA,NA
3962,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/18/2005,10,NA,NA,0.08,20.9,NA,NA,NA,NA,NA
3963,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/18/2005,10,NA,NA,0.13,23,NA,NA,NA,NA,NA
3964,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/18/2005,10,NA,NA,0.21,21.4,NA,NA,NA,NA,NA
3965,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,10/18/2005,10,NA,NA,0.2,21.6,NA,NA,NA,NA,NA
3966,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/18/2005,10,NA,NA,0.18,39.2,NA,NA,NA,NA,NA
3967,R20,Verde River at Tangle,verde,verde abv horseshoe,10/18/2005,10,NA,NA,0.03,196.9,NA,NA,NA,NA,NA
3968,Havasu 1,Havasu lake Sample,NA,Havasu 1,10/18/2005,10,NA,NA,0.15,15.1,NA,NA,NA,NA,NA
3969,Havasu 2,Havasu lake Sample,NA,Havasu 2,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3970,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3971,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/18/2005,10,NA,NA,0.11,NA,NA,NA,NA,NA,NA
3972,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/18/2005,10,NA,NA,0.13,NA,NA,NA,NA,NA,NA
3973,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/18/2005,10,NA,NA,0.12,NA,NA,NA,NA,NA,NA
3974,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/18/2005,10,NA,NA,0.11,34.2,NA,NA,NA,NA,NA
3975,R1,CAP canal above Waddell Canal,cap,cap-siphon,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3976,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3977,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3978,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3979,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3980,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3981,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3982,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,10/18/2005,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
3983,R3,Waddell Canal,cap,waddell canal,11/15/2005,11,NA,NA,0.16,9.5,NA,NA,NA,NA,NA
3984,UH In,Union Hills Inlet,cap,Union Hills Inlet,11/15/2005,11,NA,NA,0.15,9.9,NA,NA,NA,NA,NA
3985,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/15/2005,11,NA,NA,0.13,NA,NA,NA,NA,NA,NA
3986,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/2005,11,NA,NA,0.15,23,NA,NA,NA,NA,NA
3987,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,11/15/2005,11,NA,NA,0.1,40,NA,NA,NA,NA,NA
3988,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/15/2005,11,NA,NA,0.11,43.6,NA,NA,NA,NA,NA
3989,R19,Val Vista WTP treated water,srp,val vista-treated,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
3990,HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/15/2005,11,NA,NA,0.09,30.7,NA,NA,NA,NA,NA
3991,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
3992,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
3993,R25,verde river at beeline highway,verde,verde @ beeline,11/15/2005,11,NA,NA,0.08,56.2,NA,NA,NA,NA,NA
3994,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/2005,11,NA,NA,0.12,19,NA,NA,NA,NA,NA
3995,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/2005,11,NA,NA,0.1,43.6,NA,NA,NA,NA,NA
3996,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/2005,11,NA,NA,0.12,27.2,NA,NA,NA,NA,NA
3997,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/15/2005,11,NA,NA,0.12,22.8,NA,NA,NA,NA,NA
3998,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/15/2005,11,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3999,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/15/2005,11,NA,NA,0.11,17.9,NA,NA,NA,NA,NA
4000,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/15/2005,11,NA,NA,0.1,NA,NA,NA,NA,NA,NA
4001,Green In,Greenway WTP Inlet,srp,Green In,11/15/2005,11,NA,NA,0.09,22.9,NA,NA,NA,NA,NA
4002,Green Out,Greenway WTP Outlet,srp,Green Out,11/15/2005,11,NA,NA,0.13,NA,NA,NA,NA,NA,NA
4003,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/15/2005,11,NA,NA,0.11,15.5,NA,NA,NA,NA,NA
4004,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/15/2005,11,NA,NA,0.11,NA,NA,NA,NA,NA,NA
4005,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/15/2005,11,NA,NA,0.09,11.8,NA,NA,NA,NA,NA
4006,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/15/2005,11,NA,NA,0.14,32.8,NA,NA,NA,NA,NA
4007,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/15/2005,11,NA,NA,0.14,39.6,NA,NA,NA,NA,NA
4008,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/15/2005,11,NA,NA,0.2,41.4,NA,NA,NA,NA,NA
4009,R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/15/2005,11,NA,NA,0.18,27.8,NA,NA,NA,NA,NA
4010,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,11/15/2005,11,NA,NA,0.15,28.3,NA,NA,NA,NA,NA
4011,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/15/2005,11,NA,NA,0.17,35,NA,NA,NA,NA,NA
4012,R20,Verde River at Tangle,verde,verde abv horseshoe,11/15/2005,11,NA,NA,0.03,12.5,NA,NA,NA,NA,NA
4013,Havasu 1,Havasu lake Sample,NA,Havasu 1,11/15/2005,11,NA,NA,0.16,10.2,NA,NA,NA,NA,NA
4014,Havasu 2,Havasu lake Sample,NA,Havasu 2,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4015,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4016,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/15/2005,11,NA,NA,0.12,NA,NA,NA,NA,NA,NA
4017,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/15/2005,11,NA,NA,0.12,19.6,NA,NA,NA,NA,NA
4018,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/15/2005,11,NA,NA,0.13,NA,NA,NA,NA,NA,NA
4019,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/15/2005,11,NA,NA,0.15,17.7,NA,NA,NA,NA,NA
4020,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4021,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4022,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4023,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4024,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4025,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4026,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4027,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
4028,R3,Waddell Canal,cap,waddell canal,12/6/2005,12,NA,NA,0.16,5.5,NA,NA,NA,NA,NA
4029,UH In,Union Hills Inlet,cap,Union Hills Inlet,12/6/2005,12,NA,NA,0.16,4.3,NA,NA,NA,NA,NA
4030,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,12/6/2005,12,NA,NA,0.13,NA,NA,NA,NA,NA,NA
4031,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/6/2005,12,NA,NA,0.14,5.9,NA,NA,NA,NA,NA
4032,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,12/6/2005,12,NA,NA,0.07,27.9,NA,NA,NA,NA,NA
4033,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4034,R19,Val Vista WTP treated water,srp,val vista-treated,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4035,HTC,Head of the Tempe Canal,tempe,head of tempe canal,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4036,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4037,SPT Out,Tempe's South Plant treated water,tempe,STP Out,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4038,R25,verde river at beeline highway,verde,verde @ beeline,12/6/2005,12,NA,NA,0.08,50.8,NA,NA,NA,NA,NA
4039,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/6/2005,12,NA,NA,0.12,19,NA,NA,NA,NA,NA
4040,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/6/2005,12,NA,NA,0.08,29,NA,NA,NA,NA,NA
4041,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/6/2005,12,NA,NA,0.12,18.8,NA,NA,NA,NA,NA
4042,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/6/2005,12,NA,NA,0.09,60,NA,NA,NA,NA,NA
4043,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/6/2005,12,NA,NA,0.07,NA,NA,NA,NA,NA,NA
4044,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/6/2005,12,NA,NA,0.08,14.9,NA,NA,NA,NA,NA
4045,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4046,Green In,Greenway WTP Inlet,srp,Green In,12/6/2005,12,NA,NA,0.1,31.6,NA,NA,NA,NA,NA
4047,Green Out,Greenway WTP Outlet,srp,Green Out,12/6/2005,12,NA,NA,0.13,NA,NA,NA,NA,NA,NA
4048,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,12/6/2005,12,NA,NA,0.09,20.7,NA,NA,NA,NA,NA
4049,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,12/6/2005,12,NA,NA,0.09,NA,NA,NA,NA,NA,NA
4050,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/6/2005,12,NA,NA,0.12,22,NA,NA,NA,NA,NA
4051,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/6/2005,12,NA,NA,0.12,26.2,NA,NA,NA,NA,NA
4052,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/6/2005,12,NA,NA,0.13,40.6,NA,NA,NA,NA,NA
4053,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/6/2005,12,NA,NA,0.13,42.4,NA,NA,NA,NA,NA
4054,R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/6/2005,12,NA,NA,0.14,27.9,NA,NA,NA,NA,NA
4055,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,12/6/2005,12,NA,NA,0.17,27.8,NA,NA,NA,NA,NA
4056,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/6/2005,12,NA,NA,0.14,29.6,NA,NA,NA,NA,NA
4057,R20,Verde River at Tangle,verde,verde abv horseshoe,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4058,Havasu 1,Havasu lake Sample,NA,Havasu 1,12/6/2005,12,NA,NA,0.16,13,NA,NA,NA,NA,NA
4059,Havasu 2,Havasu lake Sample,NA,Havasu 2,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4060,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4061,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/6/2005,12,NA,NA,0.08,NA,NA,NA,NA,NA,NA
4062,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/6/2005,12,NA,NA,0.1,28.5,NA,NA,NA,NA,NA
4063,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,12/6/2005,12,NA,NA,0.1,NA,NA,NA,NA,NA,NA
4064,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,12/6/2005,12,NA,NA,0.09,30.1,NA,NA,NA,NA,NA
4065,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4066,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4067,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4068,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4069,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4070,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4071,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4072,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4073,R3,Waddell Canal,cap,waddell canal,1/17/2006,1,NA,NA,0.49,13,NA,NA,NA,NA,NA
4074,UH In,Union Hills Inlet,cap,Union Hills Inlet,1/17/2006,1,NA,NA,0.46,10.9,NA,NA,NA,NA,NA
4075,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,1/17/2006,1,NA,NA,0.42,NA,NA,NA,NA,NA,NA
4076,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/17/2006,1,NA,NA,0.46,8.9,NA,NA,NA,NA,NA
4077,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,1/17/2006,1,NA,NA,0.27,40.9,NA,NA,NA,NA,NA
